Neighborhood_ID_Name,AREA_NAME,HOOD_ID,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023,Average_Rank
15 - Kingsway South,Kingsway South,15,146,130,144,135,149,146,158,144,145,148,144.5
12 - Markland Wood,Markland Wood,12,101,153,140,153.5,153.5,156,142,156,148,143,144.6
49 - Bayview Woods-Steeles,Bayview Woods-Steeles,49,148,151,145.5,150,145,147,143.5,153,158,121,146.2
97 - Yonge-St.Clair,Yonge-St.Clair,97,157,155,155,156,155,148,147.5,133,139,117,146.25
112 - Beechborough-Greenbrook,Beechborough-Greenbrook,112,143,136.5,143,143,150,149.5,152.5,144,147,158,146.65
58 - Old East York,Old East York,58,137,148,149.5,153.5,139,152,152.5,152,137.5,152,147.3
140 - Guildwood,Guildwood,140,148,140,142,144,153.5,158,155.5,154,153,149,149.7
60 - Woodbine-Lumsden,Woodbine-Lumsden,60,125,147,147.5,155,151.5,154,151,155,157,155,149.8
29 - Maple Leaf,Maple Leaf,29,158,154,151.5,158,157,155,155.5,157,142.5,146,153.45
114 - Lambton Baby Point,Lambton Baby Point,114,155,152,158,157,158,157,157,158,156,154,156.2
